67, predicted: ['Adult'], actual: Society
20549, predicted: ['Business'], actual: Society
4170, predicted: ['Arts'], actual: Games
8267, predicted: ['Business'], actual: Society
16488, predicted: ['Science'], actual: Health
129, predicted: ['Games'], actual: Arts
140, predicted: ['Arts'], actual: News
43714, predicted: ['Health'], actual: Business
142, predicted: ['Arts'], actual: News
4247, predicted: ['News'], actual: Arts
8358, predicted: ['Shopping'], actual: Business
173, predicted: ['Arts'], actual: Kids
188, predicted: ['Kids'], actual: Arts
200, predicted: ['Arts'], actual: Regional
32979, predicted: ['Sports'], actual: Shopping
213, predicted: ['Home'], actual: Arts
49391, predicted: ['Business'], actual: Regional
249, predicted: ['News'], actual: Business
254, predicted: ['Business'], actual: Regional
255, predicted: ['Business'], actual: News
256, predicted: ['Home'], actual: Regional
264, predicted: ['Regional'], actual: Shopping
265, predicted: ['Business'], actual: Regional
4384, predicted: ['Arts'], actual: News
294, predicted: ['Computers'], actual: Regional
297, predicted: ['News'], actual: Business
308, predicted: ['Business'], actual: News
310, predicted: ['Home'], actual: Business
318, predicted: ['Business'], actual: Regional
329, predicted: ['Recreation'], actual: Regional
3471, predicted: ['Arts'], actual: Business
352, predicted: ['Business'], actual: Sports
23744, predicted: ['Recreation'], actual: Society
4463, predicted: ['Arts'], actual: Kids
53629, predicted: ['Kids'], actual: Games
45439, predicted: ['Kids'], actual: Arts
430, predicted: ['Shopping'], actual: Computers
49586, predicted: ['Business'], actual: Computers
436, predicted: ['Games'], actual: Regional
446, predicted: ['Games'], actual: Sports
19668, predicted: ['Sports'], actual: Kids
771, predicted: ['Home'], actual: Recreation
21033, predicted: ['News'], actual: Society
21035, predicted: ['News'], actual: Society
23986, predicted: ['Recreation'], actual: Society
564, predicted: ['Health'], actual: Science
578, predicted: ['Business'], actual: Health
45638, predicted: ['Arts'], actual: Kids
12890, predicted: ['Computers'], actual: Science
12894, predicted: ['Computers'], actual: Science
4732, predicted: ['Business'], actual: Arts
49841, predicted: ['News'], actual: Business
693, predicted: ['Home'], actual: Society
45758, predicted: ['Health'], actual: Arts
703, predicted: ['Home'], actual: Regional
8915, predicted: ['Business'], actual: Society
8919, predicted: ['Business'], actual: Regional
25304, predicted: ['Reference'], actual: Society
765, predicted: ['Home'], actual: Science
767, predicted: ['Home'], actual: Recreation
822, predicted: ['Science'], actual: Kids
824, predicted: ['Computers'], actual: Kids
13113, predicted: ['Computers'], actual: Regional
21307, predicted: ['Regional'], actual: News
835, predicted: ['Science'], actual: Kids
9032, predicted: ['Reference'], actual: Business
851, predicted: ['Kids'], actual: Science
856, predicted: ['Science'], actual: Reference
54589, predicted: ['Business'], actual: Health
1512, predicted: ['Shopping'], actual: Regional
874, predicted: ['News'], actual: Arts
50028, predicted: ['Business'], actual: Society
886, predicted: ['Society'], actual: Kids
889, predicted: ['Arts'], actual: Kids
907, predicted: ['Shopping'], actual: Arts
920, predicted: ['Sports'], actual: Kids
45987, predicted: ['Arts'], actual: Kids
942, predicted: ['Regional'], actual: News
967, predicted: ['Society'], actual: News
977, predicted: ['News'], actual: Regional
8898, predicted: ['Business'], actual: Home
6443, predicted: ['Recreation'], actual: Business
852, predicted: ['Computers'], actual: Kids
1076, predicted: ['Business'], actual: News
869, predicted: ['Business'], actual: Kids
1128, predicted: ['Recreation'], actual: Business
54388, predicted: ['Health'], actual: Science
