47238, predicted: Arts, actual: Arts
47293, predicted: Arts, actual: Arts
47459, predicted: Arts, actual: Arts
49701, predicted: Business, actual: Business
49740, predicted: Business, actual: Business
52669, predicted: Computers, actual: Computers
52720, predicted: Computers, actual: Computers
52733, predicted: Computers, actual: Computers
52858, predicted: Games, actual: Games
46567, predicted: Arts, actual: Arts
48141, predicted: Business, actual: Business
48252, predicted: Business, actual: Business
48323, predicted: Business, actual: Business
48330, predicted: Business, actual: Business
48366, predicted: Business, actual: Business
48368, predicted: Business, actual: Business
48432, predicted: Business, actual: Business
48445, predicted: Business, actual: Business
48507, predicted: Business, actual: Business
48566, predicted: Business, actual: Business
48585, predicted: Business, actual: Business
48597, predicted: Business, actual: Business
48630, predicted: Business, actual: Business
48724, predicted: Business, actual: Business
48731, predicted: Business, actual: Business
48789, predicted: Business, actual: Business
48851, predicted: Business, actual: Business
48877, predicted: Business, actual: Business
48915, predicted: Business, actual: Business
49024, predicted: Business, actual: Business
49037, predicted: Business, actual: Business
49213, predicted: Business, actual: Business
49229, predicted: Business, actual: Business
49271, predicted: Business, actual: Business
49362, predicted: Business, actual: Business
49390, predicted: Business, actual: Business
51614, predicted: Computers, actual: Computers
51647, predicted: Computers, actual: Computers
51691, predicted: Computers, actual: Computers
51795, predicted: Computers, actual: Computers
51923, predicted: Computers, actual: Computers
52125, predicted: Computers, actual: Computers
52169, predicted: Computers, actual: Computers
52280, predicted: Computers, actual: Computers
52334, predicted: Computers, actual: Computers
52337, predicted: Computers, actual: Computers
52374, predicted: Computers, actual: Computers
52593, predicted: Computers, actual: Computers
37517, predicted: Society, actual: Society
38330, predicted: Sports, actual: Sports
38405, predicted: Sports, actual: Sports
38466, predicted: Sports, actual: Sports
38496, predicted: Sports, actual: Sports
38803, predicted: Sports, actual: Sports
38868, predicted: Sports, actual: Sports
39085, predicted: Sports, actual: Sports
39656, predicted: Sports, actual: Sports
40625, predicted: Sports, actual: Sports
40724, predicted: Sports, actual: Sports
40732, predicted: Sports, actual: Sports
40765, predicted: Sports, actual: Sports
40784, predicted: Sports, actual: Sports
40792, predicted: Sports, actual: Sports
41219, predicted: Sports, actual: Sports
41486, predicted: Sports, actual: Sports
42022, predicted: Sports, actual: Sports
42553, predicted: Sports, actual: Sports
42583, predicted: Sports, actual: Sports
42657, predicted: Sports, actual: Sports
42707, predicted: Sports, actual: Sports
42760, predicted: Sports, actual: Sports
42869, predicted: Sports, actual: Sports
42914, predicted: Sports, actual: Sports
43354, predicted: Sports, actual: Sports
43400, predicted: Regional, actual: Regional
43935, predicted: Games, actual: Games
44297, predicted: News, actual: News
44315, predicted: Recreation, actual: Recreation
44639, predicted: Shopping, actual: Shopping
44784, predicted: Sports, actual: Sports
44789, predicted: Sports, actual: Sports
44934, predicted: Adult, actual: Adult
45497, predicted: Arts, actual: Arts
45548, predicted: Arts, actual: Arts
45559, predicted: Arts, actual: Arts
