12288, predicted: ['Business'], actual: Computers
2, predicted: ['Recreation'], actual: Adult
1366, predicted: ['Business'], actual: Regional
20486, predicted: ['Arts'], actual: News
4106, predicted: ['News'], actual: Arts
54615, predicted: ['Shopping'], actual: Health
53250, predicted: ['Recreation'], actual: Games
40975, predicted: ['Society'], actual: Sports
19800, predicted: ['Business'], actual: Kids
20498, predicted: ['Computers'], actual: News
24595, predicted: ['Business'], actual: Recreation
24596, predicted: ['Reference'], actual: Recreation
4119, predicted: ['Recreation'], actual: Arts
12313, predicted: ['Business'], actual: Computers
40990, predicted: ['Business'], actual: Sports
8224, predicted: ['Health'], actual: Business
8228, predicted: ['Health'], actual: Business
2054, predicted: ['Business'], actual: Computers
43697, predicted: ['Society'], actual: Computers
44, predicted: ['Health'], actual: Adult
45, predicted: ['Business'], actual: Adult
36827, predicted: ['Sports'], actual: Society
57013, predicted: ['Business'], actual: Recreation
32819, predicted: ['Sports'], actual: Shopping
4148, predicted: ['Games'], actual: Arts
4152, predicted: ['Business'], actual: Arts
49211, predicted: ['Computers'], actual: Business
20490, predicted: ['Shopping'], actual: News
8255, predicted: ['Health'], actual: Business
4162, predicted: ['Recreation'], actual: Arts
4167, predicted: ['Recreation'], actual: Arts
10252, predicted: ['Home'], actual: Business
8268, predicted: ['Science'], actual: Business
41043, predicted: ['Business'], actual: Sports
4180, predicted: ['Recreation'], actual: Arts
85, predicted: ['Arts'], actual: Adult
12374, predicted: ['Health'], actual: Computers
42340, predicted: ['Adult'], actual: Sports
4186, predicted: ['Recreation'], actual: Arts
45148, predicted: ['Shopping'], actual: Adult
28766, predicted: ['Health'], actual: Science
36959, predicted: ['News'], actual: Society
8288, predicted: ['Health'], actual: Business
4194, predicted: ['Recreation'], actual: Arts
49253, predicted: ['Computers'], actual: Business
1228, predicted: ['Recreation'], actual: Reference
16488, predicted: ['Business'], actual: Health
46439, predicted: ['Recreation'], actual: Arts
18, predicted: ['Kids'], actual: Arts
8302, predicted: ['Home'], actual: Business
4208, predicted: ['Health'], actual: Games
32881, predicted: ['Business'], actual: Shopping
28786, predicted: ['Health'], actual: Science
53267, predicted: ['Shopping'], actual: Games
32884, predicted: ['Business'], actual: Shopping
57970, predicted: ['Shopping'], actual: Society
16502, predicted: ['News'], actual: Health
119, predicted: ['Computers'], actual: Adult
49276, predicted: ['Society'], actual: Business
45181, predicted: ['Arts'], actual: Adult
130, predicted: ['Business'], actual: Arts
3414, predicted: ['Adult'], actual: Arts
4235, predicted: ['Recreation'], actual: Arts
24716, predicted: ['Society'], actual: Recreation
53397, predicted: ['Computers'], actual: Games
8344, predicted: ['Science'], actual: Business
153, predicted: ['News'], actual: Arts
45211, predicted: ['Shopping'], actual: Adult
162, predicted: ['News'], actual: Arts
30065, predicted: ['Computers'], actual: Shopping
4265, predicted: ['Business'], actual: Arts
37036, predicted: ['Shopping'], actual: Society
174, predicted: ['Business'], actual: Regional
175, predicted: ['Computers'], actual: Business
32944, predicted: ['Business'], actual: Shopping
4273, predicted: ['Health'], actual: Arts
45237, predicted: ['Recreation'], actual: Adult
4283, predicted: ['Computers'], actual: Arts
28861, predicted: ['Business'], actual: Science
190, predicted: ['Games'], actual: Kids
193, predicted: ['Business'], actual: Arts
53447, predicted: ['Arts'], actual: Games
15052, predicted: ['Computers'], actual: Games
205, predicted: ['Recreation'], actual: Society
