12288, predicted: ['Business'], actual: Computers
53249, predicted: ['Shopping'], actual: Games
2, predicted: ['Recreation'], actual: Adult
52647, predicted: ['Business'], actual: Computers
20486, predicted: ['Arts'], actual: News
4103, predicted: ['Recreation'], actual: Arts
28682, predicted: ['Computers'], actual: Science
54615, predicted: ['Shopping'], actual: Health
53323, predicted: ['Recreation'], actual: Games
40975, predicted: ['Society'], actual: Sports
8209, predicted: ['Health'], actual: Business
20498, predicted: ['Recreation'], actual: News
24595, predicted: ['Business'], actual: Recreation
24596, predicted: ['Reference'], actual: Recreation
28693, predicted: ['Society'], actual: Science
28694, predicted: ['Business'], actual: Science
4119, predicted: ['Recreation'], actual: Arts
12313, predicted: ['Business'], actual: Computers
49178, predicted: ['Shopping'], actual: Business
45419, predicted: ['Sports'], actual: Adult
55829, predicted: ['Recreation'], actual: Home
40990, predicted: ['Arts'], actual: Sports
49183, predicted: ['Shopping'], actual: Business
8224, predicted: ['Health'], actual: Business
53936, predicted: ['Shopping'], actual: Health
8228, predicted: ['Health'], actual: Business
31409, predicted: ['Computers'], actual: Shopping
3420, predicted: ['Computers'], actual: Arts
44, predicted: ['Health'], actual: Adult
45, predicted: ['Business'], actual: Adult
57013, predicted: ['Business'], actual: Recreation
32819, predicted: ['Sports'], actual: Shopping
8244, predicted: ['Health'], actual: Business
58718, predicted: ['Recreation'], actual: Shopping
4152, predicted: ['Computers'], actual: Arts
49211, predicted: ['Computers'], actual: Business
45116, predicted: ['Society'], actual: Adult
49213, predicted: ['Society'], actual: Business
36927, predicted: ['Arts'], actual: Society
8257, predicted: ['Health'], actual: Business
4162, predicted: ['Recreation'], actual: Arts
32052, predicted: ['Home'], actual: Shopping
20551, predicted: ['Shopping'], actual: Business
53629, predicted: ['Computers'], actual: Games
8268, predicted: ['Science'], actual: Business
78, predicted: ['Computers'], actual: Games
36947, predicted: ['Shopping'], actual: Society
85, predicted: ['Arts'], actual: Adult
42340, predicted: ['Society'], actual: Sports
4186, predicted: ['Recreation'], actual: Arts
45148, predicted: ['News'], actual: Adult
45149, predicted: ['Society'], actual: Adult
28766, predicted: ['Computers'], actual: Science
36959, predicted: ['News'], actual: Society
8288, predicted: ['Health'], actual: Business
4194, predicted: ['Games'], actual: Arts
49252, predicted: ['Shopping'], actual: Business
49253, predicted: ['Society'], actual: Business
1228, predicted: ['Recreation'], actual: Reference
19668, predicted: ['Recreation'], actual: Kids
53354, predicted: ['Adult'], actual: Games
46439, predicted: ['Recreation'], actual: Arts
49260, predicted: ['Society'], actual: Business
18, predicted: ['Recreation'], actual: Arts
8302, predicted: ['Home'], actual: Business
4208, predicted: ['Recreation'], actual: Games
32881, predicted: ['Business'], actual: Shopping
28786, predicted: ['Computers'], actual: Science
53267, predicted: ['Shopping'], actual: Games
32884, predicted: ['Business'], actual: Shopping
49271, predicted: ['Shopping'], actual: Business
49172, predicted: ['Arts'], actual: Business
45181, predicted: ['Shopping'], actual: Adult
45183, predicted: ['Society'], actual: Adult
8324, predicted: ['Kids'], actual: Business
56070, predicted: ['Shopping'], actual: Home
48014, predicted: ['Computers'], actual: Society
4235, predicted: ['Recreation'], actual: Arts
24716, predicted: ['Society'], actual: Recreation
47810, predicted: ['Arts'], actual: Business
142, predicted: ['Society'], actual: News
53397, predicted: ['Sports'], actual: Games
55321, predicted: ['Business'], actual: Health
8344, predicted: ['Regional'], actual: Business
153, predicted: ['Business'], actual: Arts
45211, predicted: ['Shopping'], actual: Adult
58266, predicted: ['Computers'], actual: Science
28832, predicted: ['Business'], actual: Science
162, predicted: ['News'], actual: Arts
8355, predicted: ['Recreation'], actual: Business
25969, predicted: ['Business'], actual: Reference
4265, predicted: ['Computers'], actual: Arts
28843, predicted: ['News'], actual: Science
28844, predicted: ['Shopping'], actual: Science
175, predicted: ['Computers'], actual: Business
32944, predicted: ['Computers'], actual: Shopping
47816, predicted: ['Computers'], actual: Business
3017, predicted: ['Recreation'], actual: Arts
45237, predicted: ['Arts'], actual: Adult
1097, predicted: ['Arts'], actual: Recreation
8375, predicted: ['Recreation'], actual: Business
37051, predicted: ['News'], actual: Society
37052, predicted: ['Computers'], actual: Society
28861, predicted: ['Business'], actual: Science
190, predicted: ['Games'], actual: Kids
20672, predicted: ['Science'], actual: Health
10272, predicted: ['Computers'], actual: Business
53447, predicted: ['Society'], actual: Games
15052, predicted: ['Business'], actual: Games
4303, predicted: ['Computers'], actual: Arts
20688, predicted: ['Business'], actual: Home
37073, predicted: ['News'], actual: Society
19920, predicted: ['Arts'], actual: News
217, predicted: ['News'], actual: Arts
57906, predicted: ['Society'], actual: Reference
28891, predicted: ['Business'], actual: Science
45276, predicted: ['Computers'], actual: Adult
45281, predicted: ['Society'], actual: Adult
20710, predicted: ['Business'], actual: Home
43729, predicted: ['Arts'], actual: Business
52604, predicted: ['Home'], actual: Computers
28906, predicted: ['Computers'], actual: Science
235, predicted: ['News'], actual: Arts
20269, predicted: ['Business'], actual: Shopping
56201, predicted: ['Computers'], actual: Kids
15059, predicted: ['Shopping'], actual: Games
16629, predicted: ['Arts'], actual: Health
28919, predicted: ['Recreation'], actual: Science
33016, predicted: ['Sports'], actual: Shopping
249, predicted: ['Arts'], actual: Business
