12288, predicted: ['Business'], actual: Computers
2, predicted: ['Recreation'], actual: Adult
36280, predicted: ['Business'], actual: Society
3414, predicted: ['Adult'], actual: Arts
20486, predicted: ['Arts'], actual: News
4106, predicted: ['News'], actual: Arts
54615, predicted: ['Shopping'], actual: Health
53250, predicted: ['Recreation'], actual: Games
40975, predicted: ['Society'], actual: Sports
8209, predicted: ['Health'], actual: Business
20498, predicted: ['Business'], actual: News
53267, predicted: ['Shopping'], actual: Games
24596, predicted: ['Reference'], actual: Recreation
8215, predicted: ['Health'], actual: Business
12313, predicted: ['Business'], actual: Computers
48533, predicted: ['Shopping'], actual: Business
16412, predicted: ['Business'], actual: Health
40990, predicted: ['Business'], actual: Sports
8224, predicted: ['Health'], actual: Business
8228, predicted: ['Health'], actual: Business
44, predicted: ['Health'], actual: Adult
20525, predicted: ['Computers'], actual: Business
36827, predicted: ['Sports'], actual: Society
57013, predicted: ['Business'], actual: Recreation
32819, predicted: ['Sports'], actual: Shopping
4152, predicted: ['Business'], actual: Arts
49211, predicted: ['Computers'], actual: Business
20490, predicted: ['Shopping'], actual: News
8255, predicted: ['Health'], actual: Business
16452, predicted: ['Arts'], actual: Health
4167, predicted: ['Recreation'], actual: Arts
10252, predicted: ['Home'], actual: Business
8268, predicted: ['Science'], actual: Business
16466, predicted: ['Home'], actual: Health
41043, predicted: ['Business'], actual: Sports
4180, predicted: ['Business'], actual: Arts
85, predicted: ['Arts'], actual: Adult
12374, predicted: ['Health'], actual: Computers
42340, predicted: ['Adult'], actual: Sports
4186, predicted: ['Recreation'], actual: Arts
45148, predicted: ['Arts'], actual: Adult
19130, predicted: ['Science'], actual: Reference
24670, predicted: ['Business'], actual: Recreation
36959, predicted: ['News'], actual: Society
8288, predicted: ['Health'], actual: Business
4194, predicted: ['Recreation'], actual: Arts
53349, predicted: ['Society'], actual: Games
1228, predicted: ['Recreation'], actual: Reference
46439, predicted: ['Business'], actual: Arts
18, predicted: ['Business'], actual: Arts
8302, predicted: ['Home'], actual: Business
4208, predicted: ['Recreation'], actual: Games
32881, predicted: ['Business'], actual: Shopping
28786, predicted: ['Health'], actual: Science
59236, predicted: ['Society'], actual: Computers
32884, predicted: ['Business'], actual: Shopping
57970, predicted: ['Shopping'], actual: Society
50473, predicted: ['Home'], actual: Business
4215, predicted: ['Recreation'], actual: Arts
49276, predicted: ['Society'], actual: Business
45181, predicted: ['Arts'], actual: Adult
130, predicted: ['Business'], actual: Arts
12424, predicted: ['Science'], actual: Computers
4235, predicted: ['Recreation'], actual: Arts
54152, predicted: ['Business'], actual: Health
8344, predicted: ['Regional'], actual: Business
153, predicted: ['News'], actual: Arts
45211, predicted: ['Shopping'], actual: Adult
162, predicted: ['News'], actual: Arts
8355, predicted: ['Recreation'], actual: Business
9585, predicted: ['News'], actual: Business
37036, predicted: ['Business'], actual: Society
174, predicted: ['Business'], actual: Regional
175, predicted: ['Computers'], actual: Business
4273, predicted: ['Health'], actual: Arts
4279, predicted: ['Recreation'], actual: Arts
4283, predicted: ['Computers'], actual: Arts
28861, predicted: ['Business'], actual: Science
190, predicted: ['Games'], actual: Kids
59200, predicted: ['Shopping'], actual: Arts
193, predicted: ['Business'], actual: Arts
53447, predicted: ['Society'], actual: Games
